"User-ID";"ISBN";"Book-Rating"
"276786";"8437606322";"8"
"276838";"1593080255";"0"
"276850";"0449217264";"7"
"276872";"042518109X";"8"
"276925";"0553275283";"8"
"276964";"0843949163";"8"
"277042";"0812509560";"0"
"277051";"0075536498";"8"
"277085";"0434009407";"8"
"277114";"0385503822";"0"
"277124";"0440241073";"9"
"277157";"0312874243";"0"
"277157";"0399135804";"7"
"277157";"0399141340";"8"
"277195";"0440236673";"0"
"277261";"0440241073";"7"
"277363";"0060393823";"1"
"277364";"0061011509";"5"
"277378";"0134342283";"0"
"277378";"0380490986";"0"
"277427";"006440188X";"0"
"277427";"0312944691";"8"
"277427";"0425155943";"0"
"277427";"0425158616";"0"
"277427";"0440170796";"0"
"277427";"0440193613";"0"
"277427";"0440241073";"0"
"277427";"0451526562";"0"
"277427";"0671722808";"0"
"277427";"068971310X";"0"
"277427";"0812504798";"8"
"277427";"1551664968";"0"
"277439";"0399149821";"7"
"277478";"0345394267";"0"
"277478";"0451523369";"0"
"277509";"0061091944";"0"
"277525";"0440241073";"0"
"277629";"0440241073";"8"
"277629";"0671000314";"8"
"277639";"0440195179";"0"
"277639";"0446341096";"0"
"277639";"0446794031";"8"
"277639";"0449206246";"0"
"277639";"0449217264";"0"
"277639";"0449221873";"0"
"277639";"0451112040";"0"
"277639";"0451400372";"0"
"277681";"2070403920";"0"
"277744";"0679416498";"10"
"277744";"1551660717";"8"
"277819";"0553210092";"0"
"277843";"1566194881";"0"
"277879";"0451204492";"7"
"277945";"0515137111";"8"
"277954";"0446794031";"0"
"277965";"034540288X";"0"
"277965";"0345417623";"0"
"277965";"0399141464";"8"
"277975";"0440216818";"9"
"278017";"0771087004";"5"
"278026";"0446611379";"0"
"278026";"0451202473";"7"
"278026";"0805060251";"7"
"278063";"0452281253";"7"
"278144";"0345417623";"0"
"278144";"0966784820";"0"
"278155";"0330241117";"9"
"278185";"0060198346";"7"
"278188";"0316693294";"0"
"278188";"0345354729";"0"
"278188";"0441659489";"0"
"278188";"0671644475";"5"
"278188";"0883013231";"0"
"278202";"0060198346";"3"
"278202";"0385334710";"10"
"278202";"0385497466";"3"
"278209";"0345392698";"7"
"278221";"0316031046";"10"
"278221";"0440216745";"7"
"278418";"030701035X";"0"
"278418";"0312243081";"0"
"278418";"0312958129";"0"
"278418";"0373107455";"0"
"278418";"0373834969";"0"
"278418";"0380002558";"0"
"278418";"0385190697";"0"
"278418";"038547024X";"0"
"278418";"0394702956";"0"
"278418";"0394996038";"0"
"278418";"0425116905";"0"
"278418";"0425118703";"0"
"278418";"0425155404";"0"
"278418";"0440170796";"0"
"278418";"0440193613";"0"
"278418";"0440201969";"0"
"278418";"0440236673";"0"
"278418";"0446516317";"0"
"278418";"0446603309";"0"
"278418";"0449217264";"0"
"278418";"0449500330";"0"
"278418";"0451128370";"0"
"278418";"0451409019";"0"
"278418";"0451518829";"0"
"278418";"051512608X";"0"
"278418";"0553208845";"0"
"278418";"055321330X";"0"
"278418";"0553564676";"0"
"278418";"0553569082";"0"
"278418";"0553583980";"0"
"278418";"0590120700";"0"
"278418";"0590415743";"0"
"278418";"0590425919";"0"
"278418";"0590445014";"0"
"278418";"0671000314";"0"
"278418";"0671644475";"0"
"278418";"067172262X";"0"
"278418";"0679720200";"0"
"278418";"0694514527";"0"
"278418";"0800786092";"6"
"278418";"0811209512";"0"
"278418";"0812504224";"0"
"278418";"0843114606";"0"
"278418";"0843949422";"0"
"278418";"0874061350";"0"
